Days,Titles,Periods,Places,Explains,Bars |
4,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
4,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
5,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
5,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
5,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
5,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
5,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
5,전시명: <박윤주개인전>깨어나보니 이세계 입실롱_When wake up Another dimension Ypsilon ,전시기간: 2021.9.30.-10.10 ,"전시장소: 금호미술관 B1 
지원: 서울문화재단 금호미술관 ","전시소개 
입실롱이라는 단어는 알파벳 Y(입실론)와 ...",|
5,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
5,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
6,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
6,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
6,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
6,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
6,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
6,전시명: <박윤주개인전>깨어나보니 이세계 입실롱_When wake up Another dimension Ypsilon ,전시기간: 2021.9.30.-10.10 ,"전시장소: 금호미술관 B1 
지원: 서울문화재단 금호미술관 ","전시소개 
입실롱이라는 단어는 알파벳 Y(입실론)와 ...",|
6,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
6,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
7,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
7,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
7,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
7,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
7,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
7,전시명: <박윤주개인전>깨어나보니 이세계 입실롱_When wake up Another dimension Ypsilon ,전시기간: 2021.9.30.-10.10 ,"전시장소: 금호미술관 B1 
지원: 서울문화재단 금호미술관 ","전시소개 
입실롱이라는 단어는 알파벳 Y(입실론)와 ...",|
7,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
7,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
8,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
8,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
8,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
8,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
8,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
8,전시명: <박윤주개인전>깨어나보니 이세계 입실롱_When wake up Another dimension Ypsilon ,전시기간: 2021.9.30.-10.10 ,"전시장소: 금호미술관 B1 
지원: 서울문화재단 금호미술관 ","전시소개 
입실롱이라는 단어는 알파벳 Y(입실론)와 ...",|
8,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
8,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
9,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
9,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
9,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
9,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
9,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
9,전시명: <박윤주개인전>깨어나보니 이세계 입실롱_When wake up Another dimension Ypsilon ,전시기간: 2021.9.30.-10.10 ,"전시장소: 금호미술관 B1 
지원: 서울문화재단 금호미술관 ","전시소개 
입실롱이라는 단어는 알파벳 Y(입실론)와 ...",|
9,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
9,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
10,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
10,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
10,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
10,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
10,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
10,전시명: <박윤주개인전>깨어나보니 이세계 입실롱_When wake up Another dimension Ypsilon ,전시기간: 2021.9.30.-10.10 ,"전시장소: 금호미술관 B1 
지원: 서울문화재단 금호미술관 ","전시소개 
입실롱이라는 단어는 알파벳 Y(입실론)와 ...",|
10,전시명 : 2021 전시공간 활성화 지원 사업 <여행갈까요> ,"전시기간 : 9. 2.(목) ~ 10. 10.(일) 10:00~18:00 
 매주 월요일 추석당일 휴관 ",전시장소 : 평촌아트홀 기획전시실 1~2관 ,"전시소개 
여행을 갈 수 없는 지금 상황이 너무 답답...",|
10,전시명: DNA 한국미술 어제와 오늘 ,전시기간: 2021. 7. 8. -2021. 10. 10. ,"전시장소: 국립현대미술관 덕수궁관 
*덕수궁 입장료 별도 ","전시소개 
한국의 문화재와 근현대 미술을 한자리에서 감상하고 비교하며 한국의 미를 새롭게 바라...",|
11,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
11,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
11,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
11,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
11,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
12,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
12,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
12,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
12,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
12,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
13,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
13,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
13,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
13,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
13,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
14,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
14,전시명: 이집트-삶 죽음 부활의 이야기 ,전시기간: 2019. 12. 16. ~ 2021. 11. 07. ,전시장소: 국립중앙박물관 상설전시관 3층 ,"아시아에서 세계로 시선을 확장해 더욱 다양한 문화를 선보이기 위해 
국립중앙박물관 아시아관...",|
14,전시명 : 노래하는 새들 ,전시기간 : 2021. 5. 4. ~ 2021. 10. 24. ,"전시장소 : MOKA 가든 ART LAB 
(경기도 남양주시 다산순환로 50 현대프리미엄아울렛 SPACE 1 A관 3F) ","전시소개 
감각적인 일러스트레이션의 엠마누엘 워커 수채화로...",|
14,전시명: 김현식: 현玄 ,전시기간: 2021. 9. 8. ~ 2021. 10. 17. ,전시장소: 학고재갤러리 ,"전시소개 
김현식(金玄植 1965-)은 회화 속에 시간을 포획한다. 수평으로 레진을 올리고 마른 후 칼과 송곳으로 수직선을 그은 후 물감을 바르고 ...",|
14,전시명 : 공공미술 프로젝트 <Place of Place> 展 ,전시기간 : 2021. 9. 1. ~ 2021. 10. 17. / 10:00-17:00 / (휴관 : 월요일 추석연휴) ,전시장소 : 로얄엑스 (주소: 경기도 화성시 팔탄면 시청로 895-20) ,"전시소개 
화성시 시승격 20주년...",|
15,전시명 : 양정욱 특별 전시 <대화의 풍경 : 우리는 가끔씩 휘어지던 말을 했다.> ,전시기간 : 2020.11.07 (토) - 상설전시 ,전시장소 : 부천아트벙커B39 1F 벙커 BUNKER ," 
전시소개 
양정욱 작가는 소소하게 경험한 작가의 일상의 행위들을...",|
